,match_id,batsman_id,inning,runs,balls_faced,over_faced_first,bowler_id,strike_rate,Fours,Sixes,match_dt,country_bat,batting_style_bat,bowling_style_bat,country_bowl,batting_style_bowl,bowling_style_bowl,batsman_rating
0,8638034,7907451.0,1,7,5,1.1,2486896.0,140.0,1.0,1.0,2021-01-01,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Right-arm medium-fast,49.93019710144928
1,8638041,7907451.0,1,26,21,1.1,2666705.0,123.81,4.0,1.0,2021-01-02,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Left-arm wrist-spin,49.93019710144928
2,8638055,7907451.0,2,24,12,1.1,5984376.0,200.0,5.0,2.0,2021-01-04,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm medium-fast,49.93019710144928
3,8638069,7907451.0,2,0,2,1.1,1585464.0,0.0,1.0,1.0,2021-01-09,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Right-arm medium-fast,49.93019710144928
4,8638125,7907451.0,2,16,8,2.1,3834319.0,200.0,2.0,1.0,2021-01-21,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Left-arm medium-fast,49.93019710144928
5,8638153,7907451.0,2,6,6,2.1,4381733.0,100.0,1.0,1.0,2021-01-29,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm fast-medium,49.93019710144928
6,8638188,7907451.0,1,23,16,1.6,nan,143.75,2.0,1.0,2021-02-06,NZ,Right-hand bat,Right-arm medium-fast,None,None,None,49.93019710144928
7,9027290,7907451.0,1,49,37,1.1,4950252.0,132.43,6.0,1.0,2021-12-12,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm offbreak,49.93019710144928
8,9027297,7907451.0,2,11,5,1.1,5560190.0,220.0,1.0,1.0,2021-12-17,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Slow left-arm orthodox,49.93019710144928
9,9027241,7907451.0,2,28,32,1.1,4949776.0,87.5,2.0,1.0,2021-12-20,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Right-arm medium,49.93019710144928
10,9027318,7907451.0,2,32,12,1.1,nan,266.67,1.0,4.0,2021-12-23,NZ,Right-hand bat,Right-arm medium-fast,None,None,None,49.93019710144928
11,9027451,7907451.0,1,71,34,1.1,2672214.0,208.82,8.0,4.0,2022-01-29,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm medium,49.93019710144928
12,9388476,7907451.0,2,12,9,1.1,8414699.0,133.33,2.0,1.0,2023-01-13,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm medium,49.93019710144928
13,9027416,7907451.0,2,31,23,1.1,6739830.0,134.78,4.0,1.0,2022-01-21,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm medium-fast,49.93019710144928
14,9866345,7907451.0,1,28,17,1.1,4170494.0,164.71,3.0,1.0,2023-12-22,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Slow left-arm orthodox,49.93019710144928
15,9388441,7907451.0,2,49,38,1.1,3913447.0,128.95,5.0,2.0,2023-01-04,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Slow left-arm orthodox,49.93019710144928
16,9388399,7907451.0,2,13,9,1.1,7907479.0,144.44,3.0,1.0,2022-12-28,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Slow left-arm orthodox,49.93019710144928
17,9388371,7907451.0,1,19,27,1.1,3834319.0,70.37,1.0,0.0,2022-12-23,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Left-arm medium-fast,49.93019710144928
18,9388420,7907451.0,1,41,24,1.1,8447396.0,170.83,7.0,1.0,2022-12-31,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Slow left-arm orthodox,49.93019710144928
19,9866366,7907451.0,2,8,7,1.1,8447396.0,114.29,1.0,1.0,2023-12-27,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Slow left-arm orthodox,49.93019710144928
20,8638034,4381761.0,1,46,46,1.2,6718382.0,100.0,4.0,1.0,2021-01-01,NZ,Right-hand bat,None,NZ,Left-hand bat,Slow left-arm orthodox,34.85186932573599
21,8638041,4381761.0,1,74,58,1.4,4195827.0,127.59,5.0,3.0,2021-01-02,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium,34.85186932573599
22,8638055,4381761.0,2,22,25,2.1,8447396.0,88.0,4.0,1.0,2021-01-04,NZ,Right-hand bat,None,NZ,Left-hand bat,Slow left-arm orthodox,34.85186932573599
23,8638069,4381761.0,2,53,41,2.1,2486896.0,129.27,1.0,3.0,2021-01-09,NZ,Right-hand bat,None,NZ,Left-hand bat,Right-arm medium-fast,34.85186932573599
24,8638097,4381761.0,1,1,4,1.6,3546297.0,25.0,1.0,1.0,2021-01-15,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm fast-medium,34.85186932573599
25,8638111,4381761.0,2,14,7,2.1,6718438.0,200.0,2.0,1.0,2021-01-17,NZ,Right-hand bat,None,NZ,Right-hand bat,Left-arm fast-medium,34.85186932573599
26,8638125,4381761.0,2,24,18,1.1,2672214.0,133.33,3.0,1.0,2021-01-21,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium,34.85186932573599
