,match_id,bowler_id,inning,runs,wicket_count,balls_bowled,economy,maiden,dots,Fours,Sixes,wides,noballs,match_dt,country_bowl,batting_style_bowl,bowling_style_bowl,rating,bowler_rating
0,8638034,6718396.0,1,21,0,12,10.5,0,3.0,1,1,3,1,2021-01-01,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
1,8638090,6718396.0,1,10,0,12,5.0,0,5.0,1,0,0,0,2021-01-14,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
2,8638104,6718396.0,2,13,1,12,6.5,0,5.0,1,0,2,0,2021-01-16,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
3,8638139,6718396.0,1,21,4,24,5.25,0,14.0,2,1,0,0,2021-01-24,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
4,8638146,6718396.0,1,34,3,24,8.5,0,11.0,4,1,0,0,2021-01-25,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
5,8638167,6718396.0,1,18,1,24,4.5,1,12.0,2,0,0,0,2021-01-31,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
6,8638209,6718396.0,1,34,0,24,8.5,0,9.0,4,1,1,0,2021-02-13,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
7,8904671,6718396.0,1,11,0,6,11.0,0,1.0,2,0,0,0,2021-09-03,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
8,8904692,6718396.0,2,21,1,18,7.0,0,7.0,1,1,2,0,2021-09-10,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
9,9027234,6718396.0,2,23,0,12,11.5,0,4.0,2,1,1,0,2021-11-26,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
10,9027269,6718396.0,1,27,1,18,9.0,0,9.0,1,3,0,0,2021-12-05,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
11,9027311,6718396.0,2,38,2,21,10.86,0,5.0,1,3,2,0,2021-12-19,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
12,9027325,6718396.0,1,22,3,24,5.5,0,12.0,1,1,1,0,2021-12-24,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
13,9027346,6718396.0,1,26,1,18,8.67,0,9.0,2,2,0,0,2021-12-28,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
14,9176320,6718396.0,2,22,3,24,5.5,0,12.0,3,0,1,0,2022-08-04,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
15,9717504,6718396.0,2,36,1,24,9.0,0,6.0,2,2,0,0,2023-12-27,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
16,9152352,6718396.0,2,27,1,18,9.0,0,2.0,3,0,0,0,2022-07-27,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
17,9027388,6718396.0,1,35,2,24,8.75,0,8.0,2,2,0,0,2022-01-08,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
18,9027283,6718396.0,1,15,2,24,3.75,0,14.0,1,0,1,0,2022-01-20,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
19,9027409,6718396.0,2,3,0,6,3.0,0,5.0,0,0,1,0,2022-01-16,NZ,Right-hand bat,Right-arm medium-fast,0.2715549061438832,27.155490614388324
20,8638034,2486896.0,1,23,2,24,5.75,0,12.0,1,1,0,0,2021-01-01,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
21,8638069,2486896.0,2,11,3,18,3.67,0,11.0,1,0,0,0,2021-01-09,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
22,8638090,2486896.0,1,38,2,24,9.5,0,9.0,5,1,2,0,2021-01-14,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
23,8638104,2486896.0,2,30,0,22,8.18,0,3.0,2,0,1,0,2021-01-16,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
24,8638195,2486896.0,2,41,3,24,10.25,0,8.0,4,2,1,0,2021-02-07,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
25,8638209,2486896.0,1,39,1,24,9.75,0,4.0,1,2,4,0,2021-02-13,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
26,8637810,2486896.0,2,9,0,6,9.0,0,1.0,1,0,0,0,2021-02-22,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
27,8637817,2486896.0,2,10,2,6,10.0,0,4.0,1,1,0,0,2021-02-25,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
28,8637824,2486896.0,1,60,0,24,15.0,0,8.0,8,3,0,1,2021-03-03,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
29,8778601,2486896.0,1,26,0,12,13.0,0,3.0,2,2,0,0,2021-05-01,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
30,8751686,2486896.0,1,39,0,18,13.0,0,4.0,2,3,0,1,2021-06-09,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
31,8751742,2486896.0,1,5,1,6,5.0,0,1.0,0,0,0,0,2021-06-11,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
32,8751798,2486896.0,2,17,0,12,8.5,0,5.0,3,0,1,0,2021-06-13,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
33,8751854,2486896.0,2,13,0,12,6.5,0,5.0,2,0,0,0,2021-06-15,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
34,8752001,2486896.0,1,43,0,18,14.33,0,5.0,4,3,1,0,2021-06-20,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
35,8752099,2486896.0,1,7,1,6,7.0,0,2.0,1,0,0,0,2021-06-24,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
36,8752134,2486896.0,1,11,2,12,5.5,0,5.0,1,0,0,0,2021-06-25,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
37,8752239,2486896.0,1,13,0,18,4.33,0,7.0,0,0,0,0,2021-06-29,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
38,8752295,2486896.0,1,21,0,18,7.0,0,9.0,2,1,1,0,2021-07-01,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
39,8752407,2486896.0,2,40,0,24,10.0,0,5.0,3,2,1,0,2021-07-09,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
40,8752421,2486896.0,1,15,0,12,7.5,0,3.0,1,0,1,0,2021-07-16,NZ,Left-hand bat,Right-arm medium-fast,0.3276908169563806,32.76908169563806
