,match_id,team1_won_toss,toss_decision_encoded,by_wickets,win amount,match_dt,ground_id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,team1_id,team2_id,winner_id,player_of_the_match_id,team1_player_1,team1_player_2,team1_player_3,team1_player_4,team1_player_5,team1_player_6,team1_player_7,team1_player_8,team1_player_9,team1_player_10,team1_player_11,team2_player_1,team2_player_2,team2_player_3,team2_player_4,team2_player_5,team2_player_6,team2_player_7,team2_player_8,team2_player_9,team2_player_10,team2_player_11,team1_won,ground_rating_bat,ground_rating_bowl
0,8638034,0,1,1.0,9.0,2021-01-01,17681,148,6,130,152.0,1.0,97.0,17982,18570,18570,nan,7907451,4381761,31464,258649,4949790,3834305,3776849,6718340,3566240,4950364,7543647,2653993,6718326,6718382,2486896,2288789,4950224,8187878,3083667,4950294,6718396,1585464,0,0.5922053231939164,0.4077946768060836
1,8638041,0,1,1.0,2.0,2021-01-02,17681,153,7,128,156.0,8.0,126.0,17982,18360,18360,nan,7907451,4381761,31464,4949790,258649,3834305,3776849,7543647,6718340,3566240,7907458,2319638,256080,7918280,3913447,2690498,6129276,2666705,6317142,3834375,2236086,4195827,0,0.5922053231939164,0.4077946768060836
2,9027318,0,1,1.0,1.0,2021-12-23,17681,107,10,109,108.0,9.0,125.0,17653,17982,17982,nan,4381747,2659243,3776590,4381705,3682160,3834361,6739830,1495731,3546297,7871303,3834319,7907451,4381761,1945411,3913426,3834305,4949790,3776849,2288824,3913475,1945397,3566240,0,0.5922053231939164,0.4077946768060836
3,9255945,0,1,0.0,65.0,2022-11-20,17681,191,6,125,126.0,10.0,116.0,55,48,55,3125562.0,5043310,6521080,3125562,4497646,4377610,3479860,5038018,2282125,7881845,6586824,3011735,6718326,2653993,1945355,5764576,2672214,2486896,3519011,3156033,3913475,1626561,3456424,1,0.5922053231939164,0.4077946768060836
4,9027395,0,1,0.0,19.0,2022-01-14,17681,176,7,124,157.0,8.0,126.0,17982,17744,17982,nan,1945411,4381761,3913426,387778,3519011,4949790,3776849,2288824,3913475,3566240,7907458,9068898,3558316,3083632,6673008,4949804,6496118,2537800,4170494,8447396,2765412,5984376,1,0.5922053231939164,0.4077946768060836
5,9388371,0,1,1.0,9.0,2022-12-23,17681,96,5,91,98.0,1.0,79.0,17982,17653,17653,nan,7907451,4381761,1945411,3913426,3519011,3834305,4949790,3776849,8354856,8354849,3566240,2659243,9141054,4381705,3682160,3834361,8706179,6739830,7907661,3834319,1495731,7871303,0,0.5922053231939164,0.4077946768060836
6,8588005,0,1,0.0,7.0,2021-01-01,6663,166,6,106,117.0,2.0,74.0,33942,33963,33963,1749075.0,37351,46794,5406540,2231928,181404,1594319,7534687,7537067,1905847,8339701,7620346,1506098,1749075,36665,2083409,7534652,5788320,1612610,5509524,5497274,3876613,8193310,0,0.5999683143219267,0.40003168567807335
7,8587907,0,1,1.0,7.0,2021-01-03,6663,150,4,125,151.0,3.0,108.0,33914,33956,33956,7869987.0,4685568,5056134,2285051,1635773,5469008,5776490,5554254,3901099,2170762,6718844,55299,7869987,7620283,2076192,4002340,3063696,34061,3200756,4756982,7455818,2904943,7537060,0,0.5999683143219267,0.40003168567807335
8,8587858,0,1,0.0,17.0,2021-01-07,6663,115,3,63,111.0,5.0,61.0,33921,33949,33921,2286472.0,7620269,2286472,87191,2286437,2535420,3114803,4967738,3995991,3890984,7353828,6818776,363047,2275097,4230127,2275195,3901078,3737103,3501882,2656541,2337117,8131255,3731307,1,0.5999683143219267,0.40003168567807335
9,8587998,0,1,1.0,3.0,2021-01-10,6663,148,10,123,152.0,7.0,122.0,33921,33956,33956,34061.0,7620269,2286472,87191,2286437,3114803,2535420,4967738,3995991,3890984,7353828,6818776,7869987,7620283,2076192,4002340,3063696,34061,3200756,49496,1506077,2904943,7537060,0,0.5999683143219267,0.40003168567807335
